id,word,example_en,example_ja
A100078,beach,We had a great day at the beach.,私たちはビーチで素晴らしい一日を過ごしました。
A100079,bean,I ate a bean for lunch.,昼ごはんにビーンを食べました。
A100080,bear,The bear ran across the field.,熊は野原を走っていった。
A100081,beautiful,She has a beautiful voice.,彼女は美しい声を持っている。
A100082,because,I went to the store because I needed milk.,牛乳が必要だから店に行ったんだ。
A100083,become,He became a successful businessman.,彼は成功した実業家になった。
A100084,bed,I slept in a comfortable bed last night.,昨晩は快適なベッドで寝ました。
A100085,bedroom,I have a bedroom in my house.,私の家には１つ寝室があります。
A100086,bee,The bee was buzzing around the flowers.,蜂が花の周りをブンブン飛び回っていました。
A100087,beef,I love eating beef.,私は牛肉を食べるのが大好きです。
A100088,before,Please step before.,前へ進んでください。
A100089,before,The book is before the laptop.,その本はラップトップの前にあります。
A100090,begin,I began to learn a new language.,私は新しい言語を学び始めた。
A100091,behind,The days of our youth are now far behind.,私たちの若い日々は今や遠く過ぎ去っています。
A100092,behind,The cat is hiding behind the couch.,猫はソファの後ろに隠れています。
A100093,being,Being honest is the best policy.,正直であることが最善の方針です。
A100094,believe,I believe in the power of kindness.,私は優しさの力を信じている。
A100095,bell,The bell rang at 8 o'clock.,8時にベルが鳴った。
A100096,below,I can see the ocean below.,下に海が見えます。
A100097,below,The bird is flying below the clouds.,鳥は雲の下を飛んでいます。
A100098,beside,He was sitting beside me.,彼は私の隣に座っていた。
A100099,best,This is the best movie I have ever seen.,これは私が今まで見た中で最高の映画です。
A100100,best,She sings best among all the students in our class.,彼女は私たちのクラスの全ての生徒の中で最も上手に歌います。
A100101,better,This car runs much better than before.,この車は以前よりもはるかに良く走ります。
A100102,between,The cat is sleeping between the two sofas.,猫は二つのソファの間で寝ています。
A100103,bicycle,I bought a new bicycle today.,今日新しい自転車を買いました。
A100104,big,The house was big.,その家は大きかった。
A100105,bike,I bought a new bike.,私は新しい自転車を買った。
A100106,bird,The bird flew over the river.,鳥が川を飛び越えた。
A100107,birth,The birth of my first child was the happiest moment of my life.,私の最初の子供の誕生は私の人生で最も幸せな瞬間でした。
A100108,birthday,My brother's birthday is on the third of June.,私の兄の誕生日は6月3日です。
A100109,biscuit,I bought a box of biscuit.,私はビスケットの一箱買った。
A100110,black,She wore a black dress to the party.,彼女はパーティーに黒いドレスを着て行った。
A100111,black,He looks nice in black.,彼は黒が似合う。
A100112,blank,The sky was blank and empty.,空は空しく、何もない状態だった。
A100113,block,The city block was [[filled with]] people.,街区は人で埋め尽くされていた。
A100114,blow,The wind began to blow strongly.,風が強く吹き始めた。
A100115,blue,The sky is blue.,空は青いです。
A100116,blue,The sky is a beautiful shade of blue.,空は美しい青色です。
A100117,board,Stick a notice on the board.,掲示板に注意事項を貼ります。
A100118,boat,The children went on a boat ride.,子どもたちはボート乗りをした。
A100119,body,The doctor examined the patient's body.,医者は患者の体を検査した。
A100120,bone,He found a bone in the garden.,彼は庭に骨を見つけた。
A100121,book,This is a book to read.,これは読むべき本だ。
A100122,bookstore,I went to the bookstore to buy a new book.,私は新しい本を買うために書店に行きました。
A100123,boring,The lecture was so boring that I fell asleep.,講義がとても退屈だったので、私は眠ってしまった。
A100124,borrow,I borrowed a book from the library.,私は図書館から本を借りました。
A100125,both,They both arrived late for the meeting.,彼らは両方とも会議に遅れて到着しました。
A100126,both,Both of them are my friends.,彼らは両方とも私の友達です。
A100127,both,I really like both.,どちらもとても気に入っている。
A100128,bottle,She put the bottle on the table.,彼女はびんをテーブルに置いた。
A100129,bottom,The cat was sleeping on the bottom of the bed.,猫はベッドの下で眠っていた。
A100130,bowl,I ate a delicious bowl of ramen for lunch.,昼食に美味しいラーメンのどんぶりを食べました。
A100131,box,The box was filled with candy.,箱の中はキャンディでいっぱいだった。
A100132,boy,The boy ran around the park.,男の子は公園を駆け回った。
A100133,boyfriend,My boyfriend is my best friend.,私の彼氏は私の最高の友達です。
A100134,brain,The brain is a complex organ.,脳は複雑な臓器です。
A100135,bread,I bought a loaf of bread.,パンを一斤買いました。
A100136,break,She broke the window with a rock.,彼女は岩を使い窓を壊した。
A100137,breakfast,I had a delicious breakfast this morning.,今朝は美味しい朝食を食べました。
A100138,breathe,I'm trying to breathe.,私は息をしようとしている。
A100139,bridge,We crossed the bridge to reach our destination.,私たちは目的地に到達するために橋を渡りました。
A100140,bright,The sky was a bright blue.,空は明るい青色だった。
A100141,bring,He brought a cake to the party.,彼はパーティーにケーキを持ってきた。
A100142,broken,The broken vase lay shattered on the floor.,床に割れた花瓶が散乱していた。
A100143,brother,My brother and I are going to the movies.,私の兄弟と私は映画に行く予定だ。
A100144,brown,The brown fox jumped over the fence.,茶色いキツネがフェンスを越えてジャンプした。
A100145,brush,I need to buy a new brush for my hair.,髪の毛用に新しいブラシを買わなければなりません。
A100146,brush,I brush my hair every morning.,毎朝、私は髪にブラシをかけます。
A100147,bucket,The man filled a bucket with water.,男はバケツに水を満たした。
A100148,build,He built a house on the hill.,彼は丘の上に家を建てた。
A100149,building,The high-rise building was built in the city center.,高層ビルが市街地の中心に建てられた。
A100150,burger,"I'm hungry, so let's go get a burger.",私はお腹が空いたので、バーガーを食べに行こう。
A100151,bus,I will take the bus to school.,学校へはバスに乗るつもりです。
A100152,business,He has been in the business for 15 years.,彼は15年間そのビジネスに従事してきました。
A100153,busy,The office is busy today.,今日のオフィスは忙しいです。
A100154,but,"I want to go to the beach, but it's raining outside.",海に行きたいけど、外は雨が降っている。
A100155,butter,I spread butter on my toast this morning.,今朝はトーストにバターを塗った。
A100156,butterfly,The butterfly fluttered around the garden.,蝶が庭で飛び回っていた。
A100157,button,Press the button to turn on the light.,ライトを点けるためにボタンを押してください。
A100158,buy,I will buy a new car.,新しい車を買おう。
A100159,by,The new store is located by the train station.,新しい店は駅の近くに位置しています。
A100160,bye,Bye for now.,またね。
A100161,cafe,I'm going to meet my friend at the cafe later.,私は後で友達にカフェで会う予定です。
A100162,cake,I bought a cake for my friend's birthday.,友達の誕生日にケーキを買いました。
A100163,call,I'm going to make a call to my friend.,友達に電話をかけるつもりだ。
A100164,camera,I bought a new camera yesterday.,昨日新しいカメラを買いました。
A100165,camp,The children went to the camp for the summer holidays.,子どもたちは夏休みにキャンプに行った。
A100166,can,I can swim.,私は泳ぐことができます。
A100167,candy,I bought some candy at the store.,私はストアでいくつかのキャンディを買った。
A100168,cap,He was wearing a red cap.,彼は赤いキャップをかぶっていた。
A100169,car,I bought a new car.,私は新しい車を買った。
A100170,card,I received a birthday card from my friend.,友達からバースデーカードを受け取りました。
A100171,care,When he lost his watch he didn't seem to care.,時計を無くしても彼は気にしていない様子だった。
A100172,careful,Be careful with the glass.,ガラスに気をつけてください。
A100173,carefully,He opened the door carefully.,彼は丁寧にドアを開けた。
A100174,carry,He carried the heavy box for me.,彼は私のために重い箱を運んだ。
A100175,cartoon,I watched a cartoon on TV last night.,昨晩テレビで漫画を見ました。
A100176,case,"In this case, you should consult a lawyer.",この場合、弁護士に相談するべきです。
A100177,cat,The cat is sleeping in the bed.,猫はベッドで寝ています。
A100178,catch,He made a great catch in the baseball game.,彼は野球の試合で素晴らしいキャッチをした。
A100179,catch,I catch the ball.,私はボールを捕らえる。
A100180,CD,I bought a new CD yesterday.,昨日新しいCDを買った。
A100181,CD player,I bought a new CD player for my car.,私は車のために新しいCDプレーヤーを買った。
A100182,celebrate,We will celebrate our success!,成功を祝おう！
A100183,celebration,The party was a celebration of their success.,そのパーティーは彼らの成功を祝うものでした。
A100184,chair,I sat on the chair.,私は椅子に座った。
A100185,change,The change in weather is noticeable.,天気の変化が目立つ。
A100186,change,I need to change my clothes before we go out.,外出する前に服を変える必要があります。
A100187,character,He has a strong character.,彼は強い性格を持っている。
A100188,check,I will do a check to make sure everything is okay.,すべてが正常であることを確認するためにチェックを行います。
A100189,cheese,I love cheese!,私はチーズが大好きです！
A100190,chicken,I ate chicken for dinner.,夕食にチキンを食べました。
A100191,child,The mother held her child in her arms.,母親は腕に子供を抱いていた。
A100192,chocolate,I love eating chocolate.,私はチョコレートを食べるのが大好きです。
A100193,choose,I chose the red one.,私は赤いのを選んだ。
A100194,church,The church was filled with people.,教会には人々でいっぱいだった。
A100195,cinema,I'm going to the cinema tonight.,今夜は映画館に行くつもりです。
A100196,circle,The moon is a perfect circle.,月は完璧な円である。
A100197,city,I live in a big city.,私は大きな都市に住んでいます。
A100198,class,I'm in the same class as my brother.,私は兄と同じクラスにいます。
A100199,classmate,My classmate is very kind.,私の同級生はとても親切です。
A100200,classroom,I am in the classroom.,私は教室にいる。
A100201,clean,The house is clean and tidy.,家はきれいで整頓されています。
A100202,clean,Please clean your room before you leave.,あなたが出る前に部屋を掃除してください。
A100203,clever,He is a clever boy.,彼は賢い少年だ。
A100204,climb,I will go on a climb tomorrow.,明日登山に行くつもりです。
A100205,clock,I set my alarm clock for 5am.,私は5時に目覚まし時計をセットした。
A100206,close,The store is close to my house.,その店は私の家に近いです。
A100207,close,Please close the door.,ドアを閉めてください。
A100208,closed,The door is closed.,ドアは閉まっています。
A100209,cloth,I bought a new cloth for my dress.,ドレス用に新しい布を買いました。
A100210,clothes,I bought some new clothes.,私は新しい衣服を買った。
A100211,cloud,The sky was full of clouds today.,今日は空が雲でいっぱいだった。
A100212,cloudy,The sky was cloudy today.,今日は空がくもっていた。
A100213,club,I went to the club last night.,昨晩私はクラブに行った。
A100214,coach,The coach was very encouraging.,コーチはとても励ましてくれた。
A100215,coat,I bought a new coat for winter.,私は冬のために新しいコートを買いました。
A100216,code,It is not acceptable to our moral code.,それは私たちの道徳的規範には受け入れられない。
A100217,coffee,I like to drink coffee in the morning.,朝はコーヒーを飲むのが好きです。
A100218,coke,I bought a can of coke at the convenience store.,コンビニで缶コーラを買った。
A100219,cold,The weather is cold today.,今日は寒いです。
A100220,cold,It's just a cold.,風邪ですね。
A100221,collect,I collected all the materials necessary for the experiment.,私は実験に必要な資料を全て集めました。
A100222,collection,I have a large collection of stamps.,私は多くの切手を集めている。
A100223,college,I'm planning on going to college next year.,来年大学に行くつもりです。
A100224,color,The sky is a beautiful color.,空は美しい色です。
A100225,color,I [[like to]] color pictures with my daughter.,私は娘と一緒に絵を塗ることが好きです。
A100226,come,I will come to your house tomorrow.,明日あなたの家に行きます。
A100227,computer,I bought a new computer.,私は新しいコンピューターを買った。
A100228,concert,I'm going to the concert tomorrow.,明日はコンサートに行くつもりです。
A100229,contest,The students had a contest to see who could solve the math problem the fastest.,学生たちは数学の問題を一番速く解くのを競うコンテストを行った。
A100230,conversation,We had a pleasant conversation over dinner.,ディナーを楽しみながら素敵な会話をしました。
A100231,cook,The cook prepared a delicious meal for the guests.,料理人はお客様のために美味しい食事を準備しました。
A100232,cook,I love to cook delicious meals for my family.,私は家族のために美味しい食事を料理するのが大好きです。
A100233,cookie,I bought some cookies for the party.,パーティーのためにクッキーを買った。
A100234,cool,He is so cool.,彼はかっこいいね。
A100235,cop,The cop was patrolling the area.,警官がその地域を巡回していた。
A100236,copy,I made a copy of the book.,私は本のコピーを作りました。
A100237,corn,The farmer grew corn in his field.,農夫は自身の畑でトウモロコシを育てた。
A100238,corner,She was waiting for him in the corner of the room.,彼女は部屋の隅で彼を待っていた。
A100239,correct,The answer is correct.,その答えは正解です。
A100240,couch,I sat on the couch and watched TV.,私はソファーに座ってテレビを見ました。
A100241,could,I could swim when I was younger.,私は若い頃に泳ぐことができました。
A100242,course,I am taking a course on computer science.,コンピューターサイエンスのコースを受講しています。
A100243,cousin,My cousin lives in the countryside.,私のいとこは田舎に住んでいます。
A100244,cover,I'll put a cover over the book to protect it.,本を保護するためにカバーをかけます。
A100245,cow,The farmer bought a cow.,農夫は牛を買った。
A100246,cream,I had some cream with my cake.,私はケーキにクリームをつけました。
A100247,credit card,I used my credit card to pay for the purchase.,私は購入にクレジットカードを使いました。
A100248,cry,"The little girl was in tears, her cry echoing in the room.",小さな女の子は涙を流していて、彼女の泣き声が部屋に響いていた。
A100249,culture,The culture of this country is very unique.,この国の文化は非常に独特です。
A100250,cup,I put some coffee into the cup.,私はコーヒーをカップに入れました。
A100251,cut,I will cut the cake into four pieces.,ケーキを4つに切り分けるつもりです。
A100252,cute,The little puppy was so cute.,ちっちゃな子犬がとても可愛かった。
A100253,dad,My dad is the best!,私の父親は最高だ！
A100254,daddy,Daddy loves to say funny things.,父はおかしい事を言うのが好きだ。
A100255,dance,She loves to dance to the rhythm of the music.,彼女は音楽のリズムに合わせて踊るのが大好きです。
A100256,dance,She loves to dance.,彼女はダンスが大好きです。
A100257,dancing,She loves dancing.,彼女は踊るのが大好きだ。
A100258,dark,The sky was dark.,空は暗かった。
A100259,date,The date of the meeting is next Wednesday.,会議の日付は来週水曜日です。
A100260,daughter,My daughter is an excellent student.,私の娘は優秀な生徒です。
A100261,day,Today is a beautiful day.,今日は素晴らしい日です。
A100262,dear,His dear mother always supported him.,彼の大切な母はいつも彼を支えていた。
A100263,December,I'm looking forward to December.,12月が楽しみです。
A100264,delicious,The cake was delicious.,ケーキはおいしかった。
A100265,describe,I will describe the situation to you.,あなたに状況を説明します。
A100266,design,She likes the design on the plate.,彼女はその皿の模様が気に入っている。
A100267,desk,I have a desk in my room.,私は自分の部屋にデスクを持っている。
A100268,dictionary,I bought a new dictionary yesterday.,昨日新しい辞書を買った。
A100269,did,I did my homework yesterday.,昨日、宿題をしました。
A100270,difference,The difference between these two cars is the price.,この２台の車の違いは値段だ。
A100271,different,This book is different from others.,この本は他の本とは違う。
A100272,difficult,This problem is so difficult.,この問題はとても難しい。
A100273,dig,Badgers dig deep holes.,アナグマは深い穴を掘る。
A100274,dining room,We ate dinner in the dining room,私たちはダイニングルームで夕食を食べた
A100275,dinner,Let's have dinner in a nice restaurant tonight.,今夜はナイスなレストランでディナーしましょう。
A100276,dirty,The room was very dirty.,部屋はとても汚かった。
A100277,discuss,We discussed the plan for two hours.,私たちは２時間計画について話し合いました。
A100278,dish,I cooked a delicious dish for dinner.,夕食用に美味しい料理を作りました。
A100279,do,What do you want to do today?,今日は何をしたいですか？
A100280,doctor,I'm going to see the doctor tomorrow.,明日、私は医者に診てもらうつもりです。
A100281,does,He does his homework every day.,彼は毎日宿題をします。
A100282,dog,The dog barked loudly.,犬が大きな声で吠えた。
A100283,doing,I enjoy doing yoga every morning.,私は毎朝ヨガをすることを楽しんでいます。
A100284,doll,My daughter loves to play with her doll.,娘はドール遊びが大好きです。
A100285,dollar,I bought a cup of coffee with a dollar.,私は1ドルでコーヒーを買った。
A100286,door,He shut the door behind him.,彼は後ろのドアを閉めた。
A100287,down,She walked down the street.,彼女は通りを歩いていった。
A100288,drama,The drama was very exciting.,ドラマはとてもエキサイティングだった。
A100289,draw,"When the army drew close to the fort,",軍隊が砦にはい進んだ際に
A100290,dream,I had a strange dream last night.,昨夜、奇妙な夢を見た。
A100291,dress,She bought a new dress for the party.,彼女はパーティー用に新しいドレスを買った。
A100292,drink,I need a drink.,飲み物が必要です。
A100293,drink,I like to drink coffee in the morning.,朝にコーヒーを飲むのが好きです。
A100294,drive,I'm going to drive to the store,車で店まで行きます
A100295,driver,The driver was waiting for us at the station.,駅で私たちを待っていたドライバーがいました。
A100296,drop,He dropped the book on the floor.,彼は本を床に落とした。
A100297,drum,The drummer is playing the drum.,ドラマーがドラムを叩いている。
A100298,dry,The air in the room was dry.,部屋の空気は乾燥していた。
A100299,due,The flowers are due to bloom soon.,もうすぐ花が咲く時期です。
A100300,DVD,I bought a new DVD yesterday.,昨日新しいDVDを買った。
A100301,each,Each student must bring their own lunch.,各生徒は自分のランチを持ってこなければならない。
A100302,each,Each of the students received a prize at the ceremony.,生徒たちは式典でそれぞれ賞を受賞しました。
A100303,each other,We care about each other.,お互いに気をかけあっている。
A100304,ear,The ear is a sense organ that helps us hear sound.,耳は音を聞くのに役立つ感覚器官です。
A100305,early,He arrived early this morning.,彼は今朝早く到着しました。
A100306,easy,This task is easy.,このタスクは簡単です。
A100307,eat,I eat lunch everyday.,毎日昼ご飯を食べます。
A100308,egg,I found an egg in the backyard.,私は裏庭で卵を見つけた。
A100309,eight,I have eight pencils.,私は8本の鉛筆を持っています。
A100310,eighteen,She celebrated her eighteenth birthday with a big party.,彼女は大きなパーティーで18歳の誕生日を祝った。
A100311,eighty,There are eighty students in the class.,クラスには80人の生徒がいます。
A100312,either,I don't know what to do either.,私もどうしたらいいのか分かりません。
A100313,elementary,This math problem is elementary.,この問題は非常に簡単です。
A100314,eleven,I have eleven apples.,私はりんごを11個持っています。
A100315,else,"I tried my best, but I failed. Else, I wouldn't be here.",私は最善を尽くしたけど失敗した。もし違ったら、ここにはいないだろう。
A100316,e-mail,I received an e-mail from my boss this morning.,今朝、上司から電子メールを受け取りました。
A100317,end,The end of the story was a surprise.,物語の結末が驚きだった。
A100318,engineer,He is a talented engineer who specializes in software development.,彼はソフトウェア開発を専門とする才能あるエンジニアです。
A100319,enjoy,I enjoy playing tennis.,テニスをするのが楽しいです。
A100320,evening,I had a wonderful evening.,私は素晴らしい夜を過ごしました。
A100321,event,The event was cancelled due to bad weather.,天候不良のためにイベントはキャンセルされました。
A100322,every,Every student needs to study hard.,すべての学生は一生懸命勉強する必要があります。
A100323,everybody,Everybody should be treated equally.,すべての人が平等に扱われるべきである。
A100324,everyday,I have an everyday routine.,私は毎日の決まったルーチンを持っている。
A100325,everyone,Everyone should do their best.,皆が自分のベストを尽くすべきだ。
A100326,everything,Everything will be alright.,全てはうまくいくよ。
A100327,everywhere,The wind was blowing everywhere.,風はどこにでも吹いていた。
A100328,example,This is an example.,これは例です。
A100329,excellent,She is an excellent cook.,彼女は素晴らしい料理人です。
A100330,excited,The excited children were jumping up and down.,興奮した子供たちは飛び跳ねていた。
A100331,exciting,The upcoming event is so exciting!,次回のイベントはとてもワクワクする！
A100332,excuse,There is no excuse for such behavior.,そんな行為には弁解の余地はない。
A100333,exercise,I exercise every day.,毎日運動している。
A100334,expensive,This dress is very expensive.,このドレスはとても高価なものです。
A100335,eye,She has beautiful blue eyes.,彼女は美しい青い目をしています。
A100336,face,The face of the mountain was covered with snow.,山の面が雪で覆われていた。
A100337,factory,"The factory produced 10,000 cars last month.","先月、この工場は10,000台の車を生産しました。"
A100338,fair,The weather today is fair.,今日の天気は良いです。
A100339,fairy,The little girl believed in the power of the fairy.,小さな女の子は、妖精の力を信じていた。
A100340,false,She gave a false name to the police.,彼女は警察に偽名を伝えた。
A100341,family,My family lives in Tokyo.,私の家族は東京に住んでいます。
A100342,famous,He is a famous actor.,彼は有名な俳優です。
A100343,fan,I am a big fan of basketball.,私はバスケットボールの大ファンです。
A100344,farm,The farmer takes care of the farm.,農家は農場を世話している。
A100345,farmer,The farmer harvested his wheat last week.,先週農夫は彼の小麦を収穫した。
A100346,fast,He is a fast runner.,彼は速いランナーです。
A100347,fast,I ran fast to catch the bus.,バスに乗るために私は速く走った。
A100348,fat,The fat cat sat on the mat.,太った猫がマットに座っていた。
A100349,father,My father is a doctor.,私の父は医者です。
A100350,favorite,This is my favorite book.,これは私のお気に入りの本です。
A100351,favorite,This book is my favorite.,この本は私のお気に入りです。
A100352,February,The month of February is the second month of the year.,2月は1年の第2の月です。
A100353,feed,Soymeal is a common ingredient in animal feed.,大豆粕は動物の飼料によく使われる成分です。
A100354,feel,I feel the softness of the fabric.,私はその生地の柔らかさを感じる。
A100355,feeling,I have a feeling that something good will happen today.,今日は何か良いことが起こるという感覚がある。
A100356,festival,The town holds a festival every year.,町は毎年祭りを開催しています。
A100357,fever,I have a fever.,私は熱を出しています。
A100358,field,She loves to run and play in the field.,彼女は野原で走ったり遊んだりするのが大好きです。
A100359,fifteen,There are fifteen students in the classroom.,教室には15人の生徒がいます。
A100360,fifty,I have fifty dollars in my wallet.,私の財布には50ドルあります。
A100361,fight,The boxer was ready for the fight.,ボクサーは試合に備えていた。
A100362,file,I need to open the file.,ファイルを開かなければなりません。
A100363,fill,The balloon was filled with helium.,風船はヘリウムで満たされていた。
A100364,find,I found the lost key.,私は失くした鍵を見つけた。
A100365,fine,The artwork in the museum is fine.,美術館の作品は立派です。
A100366,finish,"The table had a beautiful finish, with a smooth, glossy surface.",テーブルは美しい仕上げが施されており、滑らかで光沢のある表面を持っていた。
A100367,finish,I need to finish my homework before going out.,私は外出する前に宿題を終わらせる必要があります。
A100368,fire,The fire spread quickly through the forest.,森林を駆け巡る炎が急速に広がっていった。
A100369,first,He is the first person to arrive at the party.,彼はパーティーに到着した最初の人です。
A100370,first,I finished first in the race.,私はレースで一番にゴールしました。
A100371,fish,I believe this fish is a freshwater fish.,これは確か淡水魚だと思います。
A100372,fishing,My father enjoys fishing on the weekend.,父は週末に釣りを楽しみに行きます。
A100373,five,I have five apples.,私はりんごを5つ持っています。
A100374,flag,The children waved their flags to show their enthusiasm.,子どもたちは熱意を表すために旗を振った。
A100375,flat,He lives in a flat.,彼はアパートに住んでいる。
A100376,floor,The floor is covered in carpet.,床にはカーペットが敷かれている。
A100377,flower,The flower is so beautiful.,花がとても美しい。
A100378,fly,I saw a fly in the kitchen.,私はキッチンでハエを見ました。
A100379,fly,I want to fly to Japan for my vacation.,私は休暇に日本に飛びたいと思っています。
A100380,focus,I'm trying to focus on my work.,私は仕事に集中しようとしている。
A100381,foggy,The sky was foggy this morning.,今朝は空が霧っていた。
A100382,following,My following steps were carefully planned.,私の次の行動は、きっちり計画されていた。
A100383,food,I love eating good food.,美味しい食べ物を食べるのが大好きです。
A100384,football,I love playing football.,私はサッカーをプレイするのが大好きです。
A100385,for,I'm studying English for my future.,将来のために英語を勉強しています。
A100386,foreign,She had a foreign accent.,彼女は外国のアクセントをしていた。
A100387,foreigner,The foreigner spoke English fluently.,外国人は英語を流暢に話していた。
A100388,forget,I have forgotten my keys.,私は鍵を忘れてしまった。
A100389,form,The form of the sculpture is abstract.,彫刻の形は抽象的です。
A100390,forty,I have forty apples.,私はりんごを40個持っています。
A100391,four,There are four apples on the table.,テーブルの上にはりんごが4つあります。
A100392,fourteen,I have fourteen books on my shelf.,私の本棚には14冊の本があります。
A100393,free,The bird flew freely in the sky.,鳥は空の中で自由に飛んでいた。
