id,word,example_en,example_ja
A200134,belong,This book belongs to John.,この本はジョンの所有物です。
A200135,belt,I need to tighten my belt.,私はベルトを締める必要があります。
A200136,bench,I sat on the bench in the park.,私は公園のベンチに座った。
A200137,bend,Can you bend your knees?,あなたは膝を曲げることができますか？
A200138,besides,"Besides, it's starting to rain.",その上雨が降り出している。
A200139,better,She sings even better now.,彼女は今、さらに歌が上手になりました。
A200140,beyond,The park is just beyond that building.,その建物を越えたところに公園があります。
A200141,bill,Let's split the bill.,支払いは割り勘にしよう。
A200142,bit,I need a bit of sugar for this recipe.,このレシピには少し砂糖が必要です。
A200143,bite,Let's catch a bite.,軽く食べましょう。
A200144,blackboard,The teacher wrote the equation on the blackboard.,先生は黒板に方程式を書いた。
A200145,blame,They blamed him for the accident.,彼らは事故の責任は彼にあると言った。
A200146,blanket,I need a new blanket for the winter.,私は冬のために新しい毛布が必要です。
A200147,blonde,The blonde woman with fair skin was standing at the corner of the street.,金髪で色白の女性が通りの角に立っていました。
A200148,blood,The sight of blood makes me faint.,血を見ると気が遠くなる。
A200149,bloom,The cherry blossoms bloom beautifully in spring.,桜の花は春に美しく咲きます。
A200150,blow,The wind blew the leaves off the trees.,風が木の葉を吹き飛ばした。
A200151,board game,I bought a new gaming table for my board game nights.,私はボードゲームの夜のために新しいゲームテーブルを買いました。
A200152,boil,Please wait until the water starts to boil.,水が沸くまでお待ちください。
A200153,boiled,I want a boiled egg.,卵をゆでてほしいのです。
A200154,bonus,I received a bonus for my hard work.,私は頑張った成果としてボーナスを受け取りました。
A200155,bookcase,I bought a new bookcase for my study room.,私は自分の書斎用に新しい本箱を買いました。
A200156,bookshelf,I bought a new bookshelf for my room.,私は部屋のために新しい本だなを買いました。
A200157,bookshop,I bought a novel at the bookshop.,私は書店で小説を買いました。
A200158,bored,She is bored with this novel.,彼女はこの小説に退屈しています。
A200159,boss,My boss is very strict.,私の上司はとても厳しいです。
A200160,bother,I'm sorry to bother you.,ご迷惑をおかけして申し訳ありません。
A200161,bra,She bought a new bra at the store.,彼女は店で新しいブラジャーを買いました。
A200162,brainstorm,"During the brainstorming session, she had a temporary mental breakdown.",ブレインストーミングのセッション中、彼女は一時的な精神錯乱を起こしました。
A200163,brake,He stepped on the brake to stop the car.,彼は車を止めるためにブレーキを踏んだ。
A200164,branch,The chimpanzee swung from branch to branch in the forest.,チンパンジーは森で枝から枝へと揺れ動いた。
A200165,brand,This store offers a wide variety of brands.,この店舗では様々なブランドの商品が取り扱われています。
A200166,brave,She showed a brave face despite her fear.,彼女は恐怖にもかかわらず勇敢な顔を見せた。
A200167,break,I'm going to take a break.,休憩を取ろうと思っている。
A200168,breeze,I love feeling the gentle breeze on my face.,私は顔にそよ風を感じるのが好きです。
A200169,bride,The bride looked stunning in her white wedding gown.,花嫁は白いウェディングドレスで見事でした。
A200170,brilliant,The sun was shining brilliantly in the clear blue sky.,晴れた青空に太陽が輝いていました。
A200171,brown,The lion's pelage is golden brown.,ライオンの体毛はゴールデンブラウンです。
A200172,budget,I need to create a budget for my upcoming trip.,私は今度の旅行のために予算を作成する必要があります。
A200173,bug,I saw a bug crawling on the wall.,私は壁を這っている虫を見ました。
A200174,bulb,I planted flower bulbs in my garden.,私は庭に花の球根を植えました。
A200175,burn,I got a burn on my finger.,指にやけどをしました。
A200176,bury,He decided to bury the treasure in the backyard.,彼は宝を裏庭に埋めることに決めた。
A200177,bus station,I will meet you at the bus station.,バス停で会いましょう。
A200178,bus stop,I waited at the bus stop for 20 minutes.,私はバス停で20分待ちました。
A200179,bush,The bush was full of colorful flowers.,茂みは色とりどりの花でいっぱいでした。
A200180,businessman,He is a successful businessman.,彼は成功した実業家です。
A200181,businesswoman,The businesswoman is attending a conference.,女実業家は会議に出席しています。
A200182,cab,I hailed a cab and went to the airport.,私はタクシーを拾って空港に行きました。
A200183,cafeteria,I had lunch at the cafeteria.,私はカフェテリアで昼食をとりました。
A200184,calendar,I always mark important dates on my calendar.,私はいつも大切な日付をカレンダーに記入します。
A200185,call,I received a call from an unknown number.,私は未知の番号から電話を受け取りました。
A200186,camp,"Every summer, we camp in the mountains.",毎夏、私たちは山でキャンプします。
A200187,camping,We went camping in the mountains last weekend.,先週末、私たちは山で野営に行きました。
A200188,campus,I love walking around the campus and exploring all the different buildings.,私はキャンパスを散策して、さまざまな建物を探検するのが好きです。
A200189,can,I can swim.,私は泳ぐことができます。
A200190,capital,Tokyo is the capital of Japan.,東京は日本の首都です。
A200191,capital letter,Please remember to use a capital letter at the beginning of a sentence.,文章の最初に大文字を使うことを覚えてください。
A200192,captain,The captain of the ship is responsible for the safety of the crew and passengers.,船長は乗組員と乗客の安全を責任を持っています。
A200193,car park,I parked my car in the car park.,私は車を駐車場に停めました。
A200194,carrot,I love eating carrot sticks as a healthy snack.,私は健康的なスナックとしてニンジンのスティックを食べるのが好きです。
A200195,cash,I need to withdraw some cash from the ATM.,私はATMから現金を引き出す必要があります。
A200196,cassette,I found an old cassette in the attic.,屋根裏で古いカセットを見つけました。
A200197,castle,The castle is a popular tourist attraction.,城は人気の観光名所です。
A200198,cause,Smoking can cause lung cancer.,喫煙は肺がんの原因となる可能性があります。
A200199,cent,I found a penny on the street.,私は通りで1セント硬貨を見つけました。
A200200,center,The center of the city is always busy.,都市の中心はいつも賑やかです。
A200201,centimeter,The length of the pencil is 15 centimeters.,鉛筆の長さは15センチメートルです。
A200202,century,The invention of the printing press in the 15th century revolutionized the way information was disseminated.,15世紀の印刷機の発明は、情報の伝達方法を革命的に変えました。
A200203,cereal,I eat cereal for breakfast every morning.,私は毎朝朝食にシリアルを食べます。
A200204,certain,I am certain that I will pass the exam.,私は試験に合格すると確信しています。
A200205,certainly,I will certainly attend the meeting tomorrow.,私は明日、確かに会議に出席します。
A200206,chain,He used a chain to secure his bike.,彼は自転車を固定するために鎖を使った。
A200207,chairman,The chairman called the meeting to order.,議長が会議の開会を宣言した。
A200208,challenge,I love taking on a new challenge.,新しい挑戦をするのが好きです。
A200209,champagne,I popped open a bottle of champagne to celebrate the special occasion.,特別な機会を祝うために、私はシャンペンのボトルを開けました。
A200210,championship,She won the championship in the swimming competition.,彼女は水泳大会で優勝しました。
A200211,chance,I hope I get a chance to meet him.,彼に会うチャンスがあるといいな。
A200212,chapter,This chapter discusses the main themes of the book.,この章では、本の主要なテーマについて議論します。
A200213,chart,The chart illustrates how the body works.,その図は体の働きを説明している。
A200214,chat,She chatted with her friends about the baseball game.,彼女は野球の試合について友人達とおしゃべりをした。
A200215,cheap,I found a cheap hotel for our vacation.,私は私たちの休暇のために安いホテルを見つけました。
A200216,check,Please check the car before you drive.,運転する前に車を止めてください。
A200217,cheek,She blushed and her cheeks turned red.,彼女は赤面して、頬が赤くなった。
A200218,cheer,The crowd erupted in cheer when their team scored a goal.,チームがゴールを決めると、観客は歓声を上げた。
A200219,chef,The chef prepared a delicious meal for us.,料理長は私たちのためにおいしい食事を用意してくれました。
A200220,chemical,"When matter is changed chemically, chemical energy is given off.",物質が化学的に変化する時には、化学エネルギーが放出される。
A200221,cheque,I need to deposit this cheque into my bank account.,私はこの小切手を銀行口座に入金する必要があります。
A200222,chess,I enjoy playing chess with my friends on the weekends.,週末に友達とチェスを楽しんでいます。
A200223,chest,He kept his valuable possessions in a chest.,彼は貴重品を収納箱に保管していた。
A200224,childhood,I have many fond memories from my childhood.,私には子供の頃の楽しい思い出がたくさんあります。
A200225,chili,I love the spicy taste of chili.,私はチリの辛い味が大好きです。
A200226,chimpanzee,The chimpanzee swung from branch to branch in the forest.,チンパンジーは森で枝から枝へと揺れ動いた。
A200227,chin,He pointed his chin towards the sky.,彼はあごを空に向けた。
A200228,chirp,The birds chirp in the morning.,朝、鳥がチュッチュッと鳴く。
A200229,choice,I had no choice but to accept the job offer.,私は仕事のオファーを受け入れる以外に選択肢がありませんでした。
A200230,cigarette,He smokes a cigarette after dinner.,彼は夕食後に紙巻きたばこを吸います。
A200231,citizen,Every citizen has the right to vote.,すべての市民は投票する権利を持っています。
A200232,claim,She claims the inheritance.,彼女はその遺産を要求している。
A200233,classic,Classic literature often serves as a benchmark for other works in the same genre.,古典文学はしばしば同じジャンルの他の作品の基準となります。
A200234,classical music,I enjoy listening to classical music.,私はクラシック音楽を聴くのが好きです。
A200235,cleaner,I hired a cleaner to help me with the housework.,私は家事を手伝ってもらうために掃除人を雇いました。
A200236,clear,The evidence is clear.,証拠は明らかだ。
A200237,clearly,She spoke clearly and confidently during the presentation.,彼女はプレゼン中にはっきりと自信を持って話しました。
A200238,clerk,The clerk helped me find the right size.,店員が私に適切なサイズを見つけるのを手伝ってくれました。
A200239,click,Click on the link to access the website.,リンクをクリックしてウェブサイトにアクセスしてください。
A200240,climb,I love to go for a climb in the mountains.,私は山で登るのが大好きです。
A200241,climbing,I enjoy climbing mountains on the weekends.,週末に山登りを楽しんでいます。
A200242,clone,Scientists successfully cloned a sheep.,科学者たちは羊のクローンを作ることに成功した。
A200243,clown,The clown entertained the audience with his funny antics.,道化師はおかしな芸で観客を楽しませました。
A200244,clue,I found a clue that led me to the hidden treasure.,私は隠された宝物へと導く手がかりを見つけました。
A200245,coast,This road extends to the coast.,この道路は海岸まで伸びている。
A200246,coin,Who coined the word “Internet”?,インターネット」という言葉は誰が作ったのか？
A200247,cola,I love drinking cola.,私はコーラを飲むのが大好きです。
A200248,colorful,The garden is filled with colorful flowers.,庭は色彩に富んだ花でいっぱいです。
A200249,column,The ancient temple had a beautiful column with intricate carvings.,古代の寺院には、複雑な彫刻が施された美しい円柱がありました。
A200250,comb,This is a wooden comb.,これは木のくしです。
A200251,comfortable,This bed is very comfortable.,このベッドはとても快適です。
A200252,comic,I love reading comic books.,私は漫画を読むのが大好きです。
A200253,comic,He chuckled at the comics.,彼は漫画を見てくすくす笑った。
A200254,commitment,She made a commitment to finish the project on time.,彼女はプロジェクトを時間通りに終わらせるという約束をしました。
A200255,committee,The committee will meet tomorrow to discuss the new proposal.,委員会は明日、新しい提案について話し合うために集まります。
A200256,common,Having common interests is important in a relationship.,恋愛関係において共通の趣味を持つことは重要です。
A200257,communicate,Effective communication is key to building strong relationships.,効果的なコミュニケーションは強い関係を築くための鍵です。
A200258,communication,Effective communication is essential in building strong relationships.,効果的なコミュニケーションは強い関係を築く上で不可欠です。
A200259,company,I work for a multinational company.,私は多国籍企業で働いています。
A200260,comparative,She is taller than her sister.,彼女は妹よりも背が高いです。
A200261,compare,I will compare the prices of different brands.,私は異なるブランドの価格を比較します。
A200262,competition,I participated in a fierce competition and won first place.,私は激しい競争に参加して、一位になりました。
A200263,complain,I complain about the service at this restaurant.,私はこのレストランのサービスについて文句を言います。
A200264,complaint,I have a complaint about the service at this restaurant.,このレストランのサービスについてクレームがあります。
A200265,complete,His work is now complete.,これで彼の仕事は完了した。
A200266,composer,Beethoven is a famous composer.,ベートーヴェンは有名な作曲家です。
A200267,concentrate,She needs to concentrate on her studies.,彼女は勉強に集中する必要があります。
A200268,concern,It is no concern of our firm.,それは当社の関知するところではない。
A200269,condition,The weather condition is perfect for a picnic.,天候の状態はピクニックに最適です。
A200270,confident,She is confident in her abilities.,彼女は自分の能力に自信があります。
A200271,confuse,I always confuse the words 'accept' and 'except'.,いつも「accept」と「except」という言葉を混同してしまいます。
A200272,confused,I was confused by the complicated instructions.,複雑な指示に困惑しました。
A200273,consequence,The consequence of his actions was severe.,彼の行動の結果は厳しかった。
A200274,consider,I will consider your proposal before making a decision.,私は決定する前にあなたの提案をよく考えます。
A200275,consist,The team will consist of five members.,チームは5人のメンバーで成り立つ。
A200276,contact,Please avoid contact with the hot stove.,熱いコンロとの接触は避けてください。
A200277,contact,Please contact me by letter.,手紙で連絡してください。
A200278,container,I packed my lunch in a container.,私はランチを容器に詰めました。
A200279,context,Understanding the context is crucial for effective communication.,効果的なコミュニケーションのためには、文脈を理解することが重要である。
A200280,continent,Africa is the second largest continent in the world.,アフリカは世界で2番目に大きな大陸です。
A200281,continue,I will continue studying until I pass the exam.,試験に合格するまで勉強を続けます。
A200282,contrast,There is a stark contrast between the two paintings.,二つの絵の間には鮮明な対比があります。
A200283,control,The riot was completely out of control.,暴動は手の付けられない状態だった。
A200284,convenience,Convenience is important when choosing a place to live.,住む場所を選ぶ際には、便利さが重要です。
A200285,convenient,This app is very convenient for managing your schedule.,このアプリはスケジュール管理にとても便利です。
A200286,cooker,I need to buy a new cooker for my kitchen.,私はキッチン用に新しい料理用電気(ガス)器具を買う必要があります。
A200287,cooking,I enjoy cooking delicious meals for my family.,私は家族のために美味しい料理を作るのが楽しいです。
A200288,cooler,I need to buy a new cooler for my computer.,私はコンピューター用の新しい冷却装置を買う必要があります。
A200289,copy,Please copy this document for me.,この書類をコピーしてください。
A200290,correctly,Please answer the question correctly.,質問に正しく答えてください。
A200291,cost,The cost of living in this city is very high.,この都市の生活費は非常に高いです。
A200292,cost,This will cost Euro30.,これには30ユーロかかります。
A200293,count,Count the apples in the basket.,籠の中のリンゴの数を数えなさい。
A200294,country,I love traveling to different countries.,私は異なる国々への旅行が大好きです。
A200295,countryside,My cousin lives in the countryside.,私のいとこは田舎に住んでいます。
A200296,couple,I bought a couple of apples at the grocery store.,私はスーパーでりんごを2個買いました。
A200297,court,The judge made a ruling in the court.,裁判官が裁判所で判決を下しました。
A200298,cover,The blanket covers the bed.,毛布がベッドをおおっています。
A200299,crazy,He is acting crazy.,彼は狂気じみた行動をしている。
A200300,cream,The walls of the room were painted in a soft cream color.,部屋の壁は柔らかいクリーム色に塗られていました。
A200301,create,God created the universe.,神は宇宙を創造した。
A200302,creative,She is a creative artist.,彼女は創造力のあるアーティストです。
A200303,creativity,Creativity is the key to innovation.,創造性は革新の鍵です。
A200304,creature,The deep sea is home to many fascinating creatures.,深海には多くの魅力的な生物が生息しています。
A200305,credit,She has good credit and is able to get a loan easily.,彼女は信用があり、簡単にローンを借りることができます。
A200306,cricket,I enjoy playing cricket with my friends on weekends.,週末に友達とクリケットを楽しんでいます。
A200307,crime,He was arrested for committing a crime.,彼は犯罪を犯したため逮捕された。
A200308,crisp,The potato chips were so crisp and crunchy.,ポテトチップスはとてもかりかりしていました。
A200309,criticize,I don't like it when people criticize others without knowing the full story.,私は物事の全体像を知らずに他人を非難する人が嫌いです。
A200310,cross,She wore a necklace with a cross pendant.,彼女は十字架のペンダントが付いたネックレスを身に着けていました。
A200311,cross,He crossed the street.,彼は道路を渡った。
A200312,crowd,The crowd became unruly and started pushing and shoving.,群衆は秩序を乱し、押し合いへし合いを始めた。
A200313,crowded,The train station was crowded with people.,駅は人で込み合っていた。
A200314,crown,The queen wore a beautiful crown on her head.,女王は美しい王冠を頭にかぶっていました。
A200315,cruise,I went on a cruise to the Caribbean.,私はカリブ海クルーズに行きました。
A200316,cry,She is crying.,彼女は泣いている。
A200317,cupboard,I found a mouse in the cupboard.,私は食器だなの中にネズミを見つけました。
A200318,curry,I love to eat curry for dinner.,夕食にカレーを食べるのが大好きです。
A200319,curse,I curse you!,呪ってやる！
A200320,custom,I ordered a custom-made dress for the wedding.,私は結婚式のためにオーダーメイドのドレスを注文しました。
A200321,customer,The customer asked for assistance with finding a specific product.,その顧客は、特定の製品を見つけるための支援を求めた。
A200322,cycling,I enjoy cycling in the park on weekends.,週末に公園で自転車に乗るのが楽しいです。
A200323,daily,I have a daily routine of exercising in the morning.,私は毎朝の運動の日課があります。
A200324,daily,Traffic accidents happen daily.,交通事故は毎日起こります。
A200325,dam,The construction of the dam was completed last year.,ダムの建設は昨年完成しました。
A200326,dancer,She is a talented dancer.,彼女は才能ある踊り子です。
A200327,danger,Beware of the danger lurking in the dark alley.,暗い路地に潜む危険に注意してください。
A200328,dangerous,The storm created dangerous conditions for driving.,嵐が運転に危険な状況を作り出しました。
A200329,daylight,I love to go for a walk in the daylight.,私は日光の中で散歩するのが好きです。
A200330,dead,He found a dead bird in his backyard.,彼は裏庭で死んだ鳥を見つけた。
A200331,deal,I made a great deal on a new car.,新車をお得に買いました。
A200332,death,The news of his death shocked everyone.,彼の死の知らせはみんなを驚かせた。
A200333,debate,The students had a lively debate about the topic.,生徒たちはそのトピックについて活発な討論を行った。
A200334,decide,I need to decide which movie to watch tonight.,今夜何の映画を見るか決めなければならない。
A200335,deep,He dug deep into the ground.,彼は地面を深く掘った。
A200336,deeply,She is deeply in love with him.,彼女は彼に深く恋をしている。
A200337,degree,She has a high degree of intelligence.,彼女は高い知性を持っている。
A200338,delay,He was irritated by her delay.,彼は彼女が遅いのでいらいらした。
A200339,dentist,I have an appointment with my dentist tomorrow.,明日、私は歯科医との予約があります。
A200340,department store,I went to the department store to buy some new clothes.,私は百貨店に行って新しい服を買いました。
