id,word,example_en,example_ja
B100067,agricultural,The agricultural sector plays a vital role in the country's economy.,農業部門は、国の経済において重要な役割を果たしています。
B100068,agriculture,Agriculture plays a vital role in the economy of many countries.,農業は多くの国々の経済で重要な役割を果たしています。
B100069,aid,The Red Cross provides aid to disaster victims.,赤十字は災害被災者に援助を提供しています。
B100070,aid,We aided him with money.,私達はお金を出してあげて彼を援助した。
B100071,aim,My aim is to become a successful entrepreneur.,私の目標は、成功した起業家になることです。
B100072,air-conditioning,The air-conditioning in this room is very efficient.,この部屋のエアコンは非常に効率的です。
B100073,air force,My brother is serving in the air force.,私の兄は空軍で勤務しています。
B100074,airline,I booked my flight with a popular airline.,私は人気のある航空会社でフライトを予約しました。
B100075,alarm,They were alarmed at the news.,彼らはその知らせを聞いてびっくりした。
B100076,alcohol,He decided to quit drinking alcohol for his health.,彼は健康のためにアルコールを飲むのをやめることに決めました。
B100077,alcoholic,He never touches alcoholic drinks.,彼は、いっさいアルコールは口にしない。
B100078,alike,"Despite their differences, the two paintings are very much alike.",それらの違いにもかかわらず、その2つの絵は非常に似ています。
B100079,alike,The three sisters look very much alike.,その三姉妹はとても似ている。
B100080,allergic,I'm allergic to fish.,私は魚アレルギーです。
B100081,allowance,The government has decided to increase the allowance for low-income families.,政府は低所得家庭への割り当てを増やすことを決定しました。
B100082,aloud,She read the book aloud to her younger brother.,彼女は弟に声を出して本を読んで聞かせた。
B100083,alphabet,The English alphabet consists of 26 letters.,英語のアルファベットは26文字から成り立っています。
B100084,alternative,You have to make an alternative choice between studying abroad or finding a job.,あなたは留学するか仕事を見つけるかという二者択一の選択をしなければなりません。
B100085,alternative,We would have a wide range of alternatives.,我々は幅広い選択肢を持っている。
B100086,altogether,That is not altogether bad.,それは決して悪いことではない。
B100087,amazed,I was amazed at the results.,私はその結果に仰天した。
B100088,amazing,The view from the top of the mountain was truly amazing.,山の頂上からの眺めは本当に驚くべきものだった。
B100089,ambitious,He was ambitious of success in business.,彼は実業家として成功したいと熱望していた。
B100090,ambulance,The ambulance arrived quickly after the accident.,事故の後すぐに救急車が到着しました。
B100091,amount,The total amount comes to $500.,合計金額は500ドルになります。
B100092,amusing,The comedian's jokes were so amusing that the audience couldn't stop laughing.,そのコメディアンのジョークはとてもおもしろかったので、観客は笑いが止まらなかった。
B100093,analysis,The analysis of the data revealed some interesting trends.,データの分析がいくつかの興味深いトレンドを明らかにした。
B100094,analyze,We need to analyze the current situation to make the best decision.,最善の決定を下すためには、現状を分析する必要があります。
B100095,anger,His anger was evident in his tone.,彼の怒りは彼の口調に明らかだった。
B100096,angle,One of the angles of the triangle is 90 degrees.,三角形の 1 つの角は 90 度です。
B100097,animated,The animated expression on her face showed her excitement.,彼女の顔の生き生きとした表情は、彼女の興奮を示していました。
B100098,animation,The animation in the room was palpable as everyone eagerly awaited the announcement.,皆が発表を熱心に待っているとき、部屋の活気は手に取るように感じられました。
B100099,announce,The company will announce its annual financial results next week.,その会社は来週、年間の財務結果を発表する予定です。
B100100,announcement,The company made an announcement about the new product launch.,その会社は新製品の発売についての発表をしました。
B100101,annoyance,He answered with a look of annoyance.,彼は苛立った顔をして答えた。
B100102,annoyed,I was annoyed by the constant noise outside.,私は外の絶え間ない騒音にイライラしました。
B100103,annual,The athletic meet is an annual event.,その運動会は毎年行われる行事だ。
B100104,annually,The conference takes place annually.,その会議は毎年開催される。
B100105,ant,The ant is carrying a piece of food back to its colony.,アリは食べ物の一部をコロニーに運んでいます。
B100106,anti,The anti-war movement gained momentum in the 1960s.,反戦運動は1960年代に勢いを増した。
B100107,antique,This table is a priceless antique.,このテーブルは貴重な骨董品だ。
B100108,antonym,Hot and cold are antonyms.,Hotとcoldは反意語です。
B100109,anxiety,I struggle with anxiety every day.,私は毎日不安に苦しんでいます。
B100110,anxiously,She waited anxiously for her test results.,彼女はテストの結果を心配して待っていました。
B100111,anyhow,"Anyhow, we must finish this task before the deadline.",何としても、締め切り前にこのタスクを終えなければなりません。
B100112,ape,The ape was swinging from tree to tree.,猿は木から木へと飛び移っていました。
B100113,apology,I must make an apology to her.,私は彼女に謝らなければならない。
B100114,apparent,Her disappointment was apparent to everyone.,彼女の失望は誰の目にも明白だった。
B100115,appeal,There was a look of appeal in her eyes.,彼女の目には訴えるような表情があった。
B100116,appetite,My appetite has decreased significantly since I started this new diet.,この新しいダイエットを始めてから、私の食欲は大幅に減少しました。
B100117,applaud,The audience began to applaud when the performance ended.,パフォーマンスが終わったとき、観客は拍手喝采を始めました。
B100118,applause,His great performance drew thundering applause from the audience.,彼の名演技に観客はやんやの喝采を送った。
B100119,application,Jane filled out an application.,ジェーンは申込書に必要事項を書き入れた。
B100120,appoint,The company will appoint a new CEO next month.,会社は来月、新しいCEOを任命する予定です。
B100121,appreciation,Your appreciation of the situation is accurate.,状況に対するあなたの認識は正確です。
B100122,approach,Let's try another approach to the matter.,その問題に別な取り組み方をしてみよう。
B100123,approval,Her approval meant a lot to me.,彼女の承認は私にとって非常に大きな意味があった
B100124,approve,The committee approved the budget.,委員会は予算を承認した。
B100125,approximately,I have approximately five hundred books in my library.,私の図書館には約500冊の本があります。
B100126,architect,My brother is studying to become an architect.,私の兄は建築家になるために勉強しています。
B100127,arise,"If any problems arise, please contact me immediately.",何か問題が起こったら、すぐに私に連絡してください。
B100128,arithmetic,I find arithmetic to be a fascinating subject.,私は算数が魅力的な科目だと思います。
B100129,arm,He wrapped a bandage around his forearm to arm himself in advance.,彼は前もって武装するために腕に包帯を巻いた。
B100130,army,The army is preparing for the upcoming battle.,陸軍は、今後の戦闘のために準備をしています。
B100131,arrange,Please arrange the books on the shelf in alphabetical order.,本をアルファベット順に棚に並べてください。
B100132,arrangement,I need to make an arrangement of my documents before the meeting.,会議前に私の書類の整理をしなければなりません。
B100133,arrest,The police were able to subdue the suspect and make an arrest.,警察は容疑者を制圧し、逮捕することができました。
B100134,arrest,The police had to arrest him for his involvement in the robbery.,彼が強盗事件に関与していたため、警察は彼を逮捕しなければならなかった。
B100135,arrival,The arrival of the train was delayed due to bad weather.,悪天候のため、列車の到着が遅れました。
B100136,arrow,He shot an arrow at the target.,彼は的に矢を射た。
B100137,artist,The artist spent many years perfecting his craft.,その芸術家は自分の技術を磨くために何年も費やした。
B100138,artistic,The artistic design of the building is truly breathtaking.,その建物の芸術的なデザインは本当に息をのむほどです。
B100139,ashamed,I felt ashamed of my behavior.,私は自分の行動に恥ずかしさを感じました。
B100140,aside,He stepped aside to let her pass.,彼は彼女が通るためにわきへと一歩退いた。
B100141,aspect,This new product outperforms the old model in every aspect.,この新製品は、あらゆる点で旧型よりも優れている。
B100142,aspirin,I usually take an aspirin when I have a headache.,頭痛がするときは普通、アスピリンを飲みます。
B100143,assign,I will assign you a new task.,新しいタスクをあなたに割り当てます。
B100144,assignment,When will your assignment be completed?,君の宿題はいつ終わりますか。
B100145,assist,I will assist you in completing your project.,私はあなたがプロジェクトを完成させるのを手伝います。
B100146,assistance,I need your assistance to complete this project.,このプロジェクトを完成させるために、あなたの助けが必要です。
B100147,assistant,The assistant is preparing the documents for the meeting.,助手が会議のための書類を準備しています。
B100148,associate,I associate the smell of fresh baked cookies with my grandmother.,焼きたてのクッキーの香りは祖母を連想させます。
B100149,assume,I assume you are coming to the party tonight.,あなたが今夜パーティーに来ると思っています。
B100150,astronomer,The astronomer spent his entire night observing the stars.,その天文学者は一晩中星を観察して過ごした。
B100151,athletic,He is very athletic and excels in various sports.,彼は運動能力が非常に高く、様々なスポーツで優れています。
B100152,Atlantic,The Atlantic Ocean is known for its vastness and depth.,大西洋はその広大さと深さで知られています。
B100153,atmosphere,The atmosphere in the room was tense.,部屋の雰囲気は緊張していた。
B100154,atomic,The atomic structure of the material was complex.,その物質の原子構造は複雑だった。
B100155,attach,Please attach the document to the email.,メールにドキュメントを添付してください。
B100156,attachment,Please check the attachment for more details.,詳細は添付ファイルをご確認ください。
B100157,attain,"With hard work and dedication, you can attain your goals.",努力と献身で、あなたは目標を達成することができます。
B100158,attempt,I will attempt to finish the project by tomorrow.,私は明日までにプロジェクトを終えることを試みます。
B100159,attend,I will attend the meeting tomorrow.,私は明日、会議に出席します。
B100160,attract,I'm attracted to him.,私は彼に惹かれている。
B100161,attraction,"His attraction lies in his character, not his looks.",彼の魅力はルックスではなく性格だ。
B100162,authority,The mayor has the authority to make decisions for the city.,市長には市の決定を下す権限があります。
B100163,auxiliary,The teacher provided auxiliary materials to help the students understand the lesson.,先生は補助教材を提供して、生徒たちが授業を理解するのを助けました。
B100164,available,The room is available for rent.,その部屋は賃貸で利用できます。
B100165,avenue,The avenue leading from the gate to the house was lined with beautiful trees.,門から家へと続く並木道には美しい木々が並んでいた。
B100166,award,The film was awarded the best picture at the festival.,その映画は、フェスティバルで最優秀作品賞を受賞しました。
B100167,aware,I was not aware of the changes until now.,今までその変更に気づかなかった。
B100168,awareness,Push marketing attempts to build awareness of a product among the general population.,プッシュ・マーケティングは、一般消費者の間で製品の認知度を高めようとするものである。
B100169,awesome,The view from the top of the mountain was absolutely awesome.,山の頂上からの景色は本当に畏敬の念を起こさせるものだった。
B100170,awkward,He felt awkward standing alone in the crowded room.,彼は混雑した部屋で一人立っているのが気まずかった。
B100171,babysit,I am supposed to babysit the children tonight.,私は今夜子供たちの子守りをすることになっています。
B100172,babysitter,"My neighbor's daughter, a high school student, works part-time as a babysitter.",私の隣人の娘の高校生は、アルバイトとしてベビーシッターをしています。
B100173,back,She managed to back up through the narrow driveway.,彼女はその狭いドライブウェイを何とかバックで通り抜けた。
B100174,backache,I have been suffering from a severe backache since yesterday.,私は昨日からひどい背の痛みに苦しんでいます。
B100175,backpack,I always carry my laptop in my backpack.,私はいつもバックパックにラップトップを入れて持ち歩いています。
B100176,backpacker,He has been traveling around different countries as a backpacker.,彼はバックパッカーとしていろいろな国を旅して回っています。
B100177,backpacking,I stayed at a hostel during my backpacking trip.,私はバックパッキング旅行中にホステルに泊まりました。
B100178,bacon,I love the crispy texture of bacon.,私はベーコンのパリパリした食感が大好きです。
B100179,baggage,My baggage is missing.,私の荷物が見つからないんです。
B100180,baker,The baker is preparing fresh bread early in the morning.,パン屋は早朝から新鮮なパンを準備しています。
B100181,bakery,I bought a delicious loaf of bread from the local bakery.,私は地元のパン製造所から美味しいパンを買いました。
B100182,balance,The balance of nature is very fragile.,自然界のバランスはとてもこわれやすい。
B100183,bald,My uncle is bald.,私のおじさんははげています。
B100184,bandage,I need a bandage for my wound.,私の傷には包帯が必要です。
B100185,bang,The loud bang startled me.,その大きな音に驚いた。
B100186,bang,He banged the door in anger.,彼は怒ってドアをばたんと閉めた。
B100187,bank account,I need to deposit some money into my bank account.,私は自分の銀行勘定にいくらかのお金を預ける必要があります。
B100188,bar,The heavy rain will likely bar our plans for a picnic.,大雨が私たちのピクニックの計画を妨げる可能性が高いです。
B100189,barbecue,Dad was outside barbecuing in the yard.,父が外の庭でバーベキューをしていた。
B100190,bare,"The baby was sleeping soundly, bare and innocent.",赤ちゃんは、裸で無邪気なまま、ぐっすりと眠っていました。
B100191,barely,I barely managed to catch the last train.,私はかろうじて最後の電車に乗ることができました。
B100192,bark,The loud bark of the dog startled me.,犬の大きな吠え声にびっくりしました。
B100193,barman,The barman mixed a delicious cocktail for me.,バーテンダーが私に美味しいカクテルを作ってくれました。
B100194,barrel,The wine was aged in a large oak barrel.,そのワインは大きなオークのたるで熟成されました。
B100195,base,The story is based on fact.,その物語は事実に基づいている。
B100196,basement,I found an old photo album in the basement.,地階で古い写真アルバムを見つけました。
B100197,basin,Please fill the basin with water.,たらいに水を入れてください。
B100198,basis,The basis of his argument was fundamentally flawed.,彼の議論の基礎は根本的に欠陥があった。
B100199,bat,I saw a bat flying in the night sky.,夜空を飛ぶコウモリを見ました。
B100200,bathe,"Every evening, I bathe my children before they go to bed.",毎晩、子供たちが寝る前に入浴させます。
B100201,battle,The battle was fierce and lasted for hours.,その戦闘は激しく、何時間も続いた。
B100202,beard,He decided to grow a beard.,彼はひげを生やすことに決めました。
B100203,beast,The beast in the forest was actually a harmless animal.,森の中の獣は実は無害な動物だった。
B100204,beat,He beat the drum continuously.,彼は連続してドラムをたたいた。
B100205,beautifully,The sun sets beautifully over the horizon.,太陽が美しく地平線に沈む。
B100206,because of,The train was delayed because of snow.,列車は雪のために遅れた。
B100207,bedside,She came hurrying to his bedside.,彼女は急いで彼の病床へ駆けつけた。
B100208,behalf,I am speaking on behalf of my friend.,私は友人の味方として話しています。
B100209,behave,You should behave properly in public places.,公共の場所では適切に振る舞うべきです。
B100210,belief,His belief in himself has led him to success.,彼自身への信念が彼を成功に導いた。
B100211,beloved,My beloved cat is always by my side.,私の最愛の猫はいつも私のそばにいます。
B100212,beneath,The cat is sleeping peacefully beneath the old oak tree.,その猫は古いオークの木の下で平和に眠っています。
B100213,benefit,Regular exercise has many benefits for our health.,定期的な運動は私たちの健康に多くの利益をもたらします。
B100214,bent,Grandmother is bent double with age.,祖母は老齢で腰がくの字に曲がっている。
B100215,besides,"Besides studying, I also work part-time.",勉強に加えて、私はアルバイトもしています。
B100216,bet,I wouldn't bet on his success in the competition.,私は彼が大会で成功することに賭けるつもりはない。
B100217,bilingual,My cousin is bilingual; she can speak both English and Spanish fluently.,私のいとこはバイリンガルで、英語とスペイン語を流暢に話すことができます。
B100218,bill,Please bill us separately.,別々に払います。
B100219,bin,The farmer stored the harvested wheat in a large bin.,農家は収穫した小麦を大きなふたつきの箱に保存した。
B100220,biochemistry,I am studying biochemistry at the university.,私は大学で生化学を勉強しています。
B100221,biography,I am currently reading a fascinating biography of Albert Einstein.,私は現在、アルベルト・アインシュタインの興味深い伝記を読んでいます。
B100222,biology,I am studying biology to understand the complexity of life.,私は生命の複雑さを理解するために生物学を勉強しています。
B100223,bishop,The bishop delivered a powerful sermon at the church.,その主教は教会で力強い説教を行った。
B100224,bite,The dog tried to bite the intruder.,その犬は侵入者に噛みつこうとした。
B100225,bitter,This coffee is too bitter.,このコーヒーはにがすぎます。
B100226,blame,He tried to put the blame on me.,彼は私に責任を押し付けようとした。
B100227,bleed,I cut my finger and it started to bleed.,私は指を切って出血し始めました。
B100228,blend,The artist skillfully blends the colors to create a beautiful painting.,アーティストは色を巧みに混ぜ合わせて美しい絵を作り出します。
B100229,bless,May God bless you with good health and happiness.,神があなたに健康と幸せを授けてくれますように。
B100230,blessing,"They knelt in the church, offering a prayer for God's blessing.",彼らは教会でひざまずき、神の祝福を求める祈りを捧げました。
B100231,blind,The blind man crossed the street with the help of his guide dog.,その目の見えない男性は、盲導犬の助けを借りて通りを渡りました。
B100232,block,The police blocked the road.,警察が道路を封鎖した。
B100233,blog,I write a new blog post every week.,私は毎週新しいブログ記事を書きます。
B100234,blogger,I'm a bit down because a blogger friend of mine has decided to stop blogging.,友達のブロガーがブログ閉鎖を決心したので、私は少し落ち込んでいる。
B100235,blush,She turned away to hide her blushes.,彼女は恥じらいの色を隠すために顔をそむけた。
B100236,board,We boarded the ship.,私達は乗船した。
B100237,boast,He always boasts about his achievements at work.,彼はいつも仕事での成果を自慢します。
B100238,bold,He made a bold decision to quit his job and start his own business.,彼は自分の仕事を辞めて自分のビジネスを始めるという大胆な決定をしました。
B100239,boldly,He boldly asked her for a dance.,彼は大胆に彼女にダンスを求めました。
B100240,bomb,The police found a bomb in the abandoned building.,警察は放棄された建物で爆弾を見つけました。
B100241,bomb,Our town was bombed twice this week.,私達の街は今週２回爆撃を受けた。
B100242,bond,The bond between us is unbreakable.,私たちの間の絆は壊れない。
B100243,book,I booked a flight to Tokyo.,東京へのフライトを予約しました。
B100244,booking,I made a booking for a table at the restaurant.,私はレストランのテーブルの予約をしました。
B100245,boom,The sudden boom in the economy has led to an increase in job opportunities.,急激な経済のブームが、雇用機会の増加につながっている。
B100246,boot,I need to buy a new pair of boots for the winter.,冬に新しいブーツを買わなければなりません。
B100247,border,The soldiers patrolled the border to ensure security.,兵士たちはセキュリティを確保するために国境を巡回した。
B100248,bore,This novel bores me.,この小説は退屈だ。
B100249,boredom,I always feel a sense of boredom when I have nothing to do.,何もすることがない時はいつも退屈を感じます。
B100250,bother,What is all this bother about?,この騒ぎはどうしたの。
B100251,bounce,The ball will bounce when it hits the ground.,ボールは地面に当たるとはずみます。
B100252,bound,The train is bound for Tokyo.,その電車は東京行きです。
B100253,bow,He learned how to shoot a bow.,彼は弓を射る方法を学びました。
B100254,bowl,I bowl every weekend.,週末はいつもボウリングをしています。
B100255,boxing,He has been training in boxing for years.,彼は何年もボクシングのトレーニングをしています。
B100256,bracelet,This bracelet is more expensive than that one.,このブレスレットはあれよりも高価だ。
B100257,brainstorming,We had a productive brainstorming session yesterday.,昨日、私たちは生産的なブレストセッションを行いました。
B100258,branch,The waterways branch out across the plain.,平野を横切って水路が枝分かれしている。
B100259,brand-new,I just bought a brand-new car.,私はちょうど真新しい車を買った。
B100260,brass,The band played a lively tune on their brass instruments.,バンドは金管楽器で元気な曲を演奏しました。
B100261,bravely,She bravely faced her fears and overcame them.,彼女は勇敢に恐怖に立ち向かい、それを克服しました。
B100262,breakthrough,The scientist made a breakthrough in cancer research.,その科学者はがん研究で大きな進展を遂げました。
B100263,breast,She felt a lump in her breast and immediately went to see a doctor.,彼女は乳房にしこりを感じ、すぐに医者に診てもらいました。
B100264,breath,Take a deep breath and relax.,深呼吸をしてリラックスしてください。
B100265,breathless,She ran so fast that she was breathless.,彼女は息が切れるほどの速さで走った。
B100266,breed,She decided to breed her dog with a poodle.,彼女は自分の犬をプードルと交配することに決めました。
B100267,breeding,Breeding is an important process for the survival of species.,繁殖は種の生存にとって重要なプロセスです。
B100268,brick,He built a house using bricks.,彼はれんがを使って家を建てました。
B100269,brief,I will give you a brief overview of the project.,プロジェクトの簡単な概要をお伝えします。
B100270,briefly,He briefly explained the situation.,彼は状況を簡単に説明しました。
B100271,brightly,The sun shone brightly in the clear blue sky.,太陽が澄み切った青空に輝いていました。
B100272,broad,She has a broad knowledge of various subjects.,彼女はさまざまな科目について幅広い知識を持っています。
B100273,broadcast,Record the broadcast on tape.,その放送をテープに録音(録画)してくれ。
B100274,broccoli,I love to eat broccoli with my dinner.,夕食にブロッコリーを食べるのが大好きです。
B100275,bronze,The statue was cast in bronze.,その像はブロンズで鋳造されていた。
B100276,brotherhood,The bond of brotherhood is unbreakable.,兄弟の絆は壊れない。
B100277,bubble,The children are blowing bubbles.,子供たちがシャボン玉を吹いている。
B100278,buddy,"Hey buddy, how's it going?",やあ、調子はどうだい？
B100279,builder,The builder constructed a new house in the neighborhood.,その建築業者は近所に新しい家を建てました。
B100280,bull,The bull charged at the matador with great force.,牡牛は大きな力でマタドールに突進した。
B100281,bullet,He dodged the bullet just in time.,彼はギリギリで弾丸を避けた。
B100282,bulletin,I read the bulletin every morning to stay updated.,毎朝、最新情報を知るために掲示板を読みます。
B100283,bump,I accidentally bumped into a table.,私はうっかりテーブルにぶつかった。
B100284,bunch,I bought a bunch of flowers for my mom's birthday.,私は母の誕生日に花束を買いました。
B100285,burden,The burden of responsibility weighed heavily on his shoulders.,責任の重荷が彼の肩にのしかかった。
B100286,bureau,I found an old bureau at the antique store.,私は古いたんすをアンティークショップで見つけました。
B100287,burglar,The burglar broke into the house and stole valuable items.,夜盗が家に侵入して貴重品を盗んだ。
B100288,burn,"Don't touch the hot stove, you might burn yourself.",熱いコンロに触らないで、自分を火傷するかもしれません。
B100289,burning,A burning meteoroid produces a meteor.,燃えている宇宙空間を漂う小さな岩石や金属の塊が流れ星を作り出す
B100290,burst,The balloon burst when it hit the sharp object.,風船は鋭い物に当たった時に破裂した。
B100291,bust,The police busted the drug ring.,警察は麻薬組織を壊滅させた。
B100292,but,I like all fruits but bananas.,私はすべての果物が好きですが、バナナは除きます。
B100293,butcher,The butcher cut the meat into small pieces.,肉屋は肉を小さなピースに切りました。
B100294,buyer,The buyer was impressed with the quality of the product.,バイヤーは製品の品質に感銘を受けた。
B100295,cabbage,I love eating cabbage in my salads.,私はサラダにキャベツを入れて食べるのが大好きです。
B100296,cabin,The cabin was built with cedar wood.,その小屋はヒマラヤスギの木で建てられました。
B100297,cage,The bird is happily singing in its cage.,鳥はかごの中で楽しそうに歌っています。
B100298,calculate,I need to calculate the cost of the project.,私はプロジェクトの費用を見積もる必要があります。
B100299,calculation,I need to do some calculation for this project.,このプロジェクトのために計算をしなければなりません。
B100300,calculator,Using a calculator is an expedient way to solve complex math problems.,電卓を使うことは複雑な数学の問題を解くための便利な方法です。
B100301,calf,The farmer fed the calf with a bottle of milk.,酪農家は子牛にミルクを与えた。
B100302,caller,The caller asked for the manager.,電話をかけた人はマネージャーを求めました。
B100303,calm,The lake was calm and peaceful.,湖は穏やかで平和だった。
B100304,calmness,She took a deep breath and found calmness in the midst of chaos.,彼女は深呼吸をして、混沌の中で平静さを見つけた。
B100305,camel,I saw a camel at the zoo.,私は動物園でラクダを見ました。
B100306,campsite,We found a beautiful campsite in the mountains.,私たちは山中に美しいキャンプ場を見つけました。
B100307,canal,The canal is used for transportation of goods.,運河は貨物の輸送に使われています。
B100308,cancel,I need to cancel my reservation.,予約をキャンセルしなければなりません。
B100309,cancer,She was diagnosed with cancer last year.,彼女は去年、がんと診断されました。
B100310,candle,I lit a candle to create a cozy atmosphere.,居心地の良い雰囲気を作るためにろうそくを灯しました。
B100311,canned,I bought some canned vegetables at the grocery store.,私はスーパーマーケットで缶詰の野菜を買いました。
B100312,canteen,I had lunch at the canteen.,私は酒保で昼食をとりました。
B100313,capable,She is a capable leader who can handle any challenge.,彼女はどんな挑戦も乗り越えられる、能力のあるリーダーです。
B100314,capacity,"The stadium has a capacity of 50,000 people.",そのスタジアムの収容人数は5万人です。
B100315,capsule,I put the medicine in a small capsule.,私は薬を小さなカプセルに入れました。
B100316,capture,He managed to evade capture by the police.,彼は警察の捕縛から逃れることに成功した。
B100317,capture,We captured the thief.,我々はその泥棒を捕らえた。
B100318,care,You should give a lot of care to your work.,仕事には十分気を配りなさい。
B100319,career,She has had a successful career in finance.,彼女は金融業界で成功したキャリアを築いてきた。
